Company Name,Ticker,Last Close,Exchange
"Commerce Bancshares, Inc.",CBSH,55.01,NSDQ
"CBTX, Inc.",CBTX,28.71,NSDQ
Capital City Bank Group,CCBG,23.99,NSDQ
"China Ceramics Co., Ltd.",CCCL,1.78,NSDQ
"China Commercial Credit, Inc.",CCCR,3.23,NSDQ
ChinaCache International Holdings Ltd.,CCIH,1.01,NSDQ
CSI Compressco LP,CCLP,5.1,NSDQ
Cabot Microelectronics Corporation,CCMP,92.31,NSDQ
CNB Financial Corporation,CCNE,27.93,NSDQ
"Cogent Communications Holdings, Inc.",CCOI,46.1,NSDQ
"China Customer Relations Centers, Inc.",CCRC,17.27,NSDQ
"Cross Country Healthcare, Inc.",CCRN,13.54,NSDQ
Concurrent Computer Corporation,CCUR,6.05,NSDQ
"ChemoCentryx, Inc.",CCXI,5.78,NSDQ
CENTENNIAL RES,CDEV,19.41,NSDQ
"CDK Global, Inc.",CDK,70.78,NSDQ
"CareDx, Inc.",CDNA,7,NSDQ
"Cadence Design Systems, Inc.",CDNS,43.5,NSDQ
"Clean Diesel Technologies, Inc.",CDTI,2.07,NSDQ
"Cidara Therapeutics, Inc.",CDTX,7.45,NSDQ
CDW Corporation,CDW,70.27,NSDQ
ChromaDex Corporation,CDXC,6.63,NSDQ
"Codexis, Inc.",CDXS,7.2,NSDQ
"Cadiz, Inc.",CDZI,13.6,NSDQ
CECO Environmental Corp.,CECE,4.82,NSDQ
Career Education Corporation,CECO,12.64,NSDQ
"Celcuity, Inc.",CELC,17.98,NSDQ
Celsius Holdings Inc.,CELH,5.33,NSDQ
"Chembio Diagnostics, Inc.",CEMI,7.1,NSDQ
Central Garden & Pet Company,CENT,39.33,NSDQ
Central Garden & Pet Company,CENTA,37.97,NSDQ
Century Aluminum Company,CENX,15.76,NSDQ
Cerecor Inc.,CERC,1.76,NSDQ
Cerner Corporation,CERN,70.13,NSDQ
Cerus Corporation,CERS,3.62,NSDQ
Central European Media Enterprises Ltd.,CETV,4.75,NSDQ
Cemtrex Inc.,CETX,2.58,NSDQ
"CEVA, Inc.",CEVA,45.3,NSDQ
COMMNTY FST BCS,CFBI,12.12,NSDQ
Central Federal Corporation,CFBK,2.57,NSDQ
C&F Financial Corporation,CFFI,61.3,NSDQ
"Capitol Federal Financial, Inc.",CFFN,13.67,NSDQ
"ConforMIS, Inc.",CFMS,2.54,NSDQ
ContraFect Corporation,CFRX,0.92,NSDQ
The Carlyle Group L.P.,CG,22.25,NSDQ
"TCG BDC, Inc.",CGBD,18.29,NSDQ
Compugen Ltd.,CGEN,2.5,NSDQ
"Cancer Genetics, Inc.",CGIX,1.85,NSDQ
"Cogentix Medical, Inc.",CGNT,2.89,NSDQ
Cognex Corporation,CGNX,63.5,NSDQ
"Comstock Holding Companies, Inc.",CHCI,1.34,NSDQ
City Holding Company,CHCO,67.27,NSDQ
"The Chefs' Warehouse, Inc.",CHEF,20.25,NSDQ
Check-Cap Ltd.,CHEK,0.9135,NSDQ
Chemical Financial Corporation,CHFC,54.45,NSDQ
Charter Financial Corp.,CHFN,18.36,NSDQ
Sunshine Heart Inc,CHFS,3.8,NSDQ
Cherokee Inc.,CHKE,2,NSDQ
"Chiasma, Inc.",CHMA,1.8,NSDQ
Chemung Financial Corp,CHMG,52.95,NSDQ
"China Natural Resources, Inc.",CHNR,2.5,NSDQ
"Coherus BioSciences, Inc.",CHRS,8.6,NSDQ
"C.H. Robinson Worldwide, Inc.",CHRW,87.97,NSDQ
CHS Inc,CHSCP,30.89,NSDQ
"CommerceHub, Inc.",CHUBA,22.49,NSDQ
"CommerceHub, Inc.",CHUBK,21.11,NSDQ
"Chuy's Holdings, Inc.",CHUY,25.25,NSDQ
Cinedigm Corp,CIDM,1.53,NSDQ
China Internet Nationwide Financial Services Inc.,CIFS,55.76,NSDQ
Colliers International Group Inc.,CIGI,59.2,NSDQ
Cincinnati Financial Corporation,CINF,74.56,NSDQ
"Civista Bancshares, Inc.",CIVB,22.12,NSDQ
Citizens Holding Company,CIZN,23.625,NSDQ
"China Jo-Jo Drugstores, Inc.",CJJD,1.47,NSDQ
"Checkpoint Therapeutics, Inc.",CKPT,5.02,NSDQ
"Black Diamond, Inc.",CLAR,7.75,NSDQ
"Caladrius Biosciences, Inc.",CLBS,3.58,NSDQ
"Collectors Universe, Inc.",CLCT,28.86,NSDQ
China Lending Corporation,CLDC,2.7,NSDQ
"Celldex Therapeutics, Inc.",CLDX,2.97,NSDQ
"Clearfield, Inc.",CLFD,13.15,NSDQ
ClearSign Combustion Corporation,CLIR,3.55,NSDQ
Cellectis S.A.,CLLS,25.13,NSDQ
"Calumet Specialty Products Partners, L.P.",CLMT,8,NSDQ
